+------------------------+----------------------------+----------------------------+------+---------+--------------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+
| Batsman                | Fielder                    | Bowler                     | Runs | Related | Match                                                                                | Start Date | Venue                                                                         |
+------------------------+----------------------------+----------------------------+------+---------+--------------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+
| Edward Wright          | Henry Wright               | Henry Wright               | 12   | N       | Manchester(2nd) v Sheffield                                                          | 1848-06-08 | Botanical Gardens, Manchester                                                 |
| Edwin Stephenson       | Heathfield Stephenson      | Heathfield Stephenson      | 15   | N       | North(2nd) v Surrey                                                                  | 1859-08-01 | Kennington Oval, Kennington                                                   |
| Russell Walker         | John Walker                | Edward Walker              | 34   | Y       | Oxford University(1st) v Marylebone Cricket Club                                     | 1861-05-23 | Magdalen Ground, Oxford                                                       |
| Charles Knapp          | Charles Knapp              | Charles Knapp              | 2    | N       | Wellington(1st) v Nelson                                                             | 1874-03-17 | Basin Reserve, Wellington                                                     |
| Vero Shaw              | Alfred Shaw                | Alfred Shaw                | 7    | N       | Kent(1st) v Nottinghamshire                                                          | 1877-06-14 | St Lawrence Ground, Canterbury                                                |
| Jack Hearne            | George Hearne              | Alec Hearne                | 5    | Y       | Middlesex(2nd) v Kent                                                                | 1893-06-19 | Bat and Ball Ground, Gravesend                                                |
| Jack Hearne            | George Hearne              | Alec Hearne                | 17   | Y       | Middlesex(2nd) v Kent                                                                | 1893-08-24 | Lord's Cricket Ground, St John's Wood                                         |
| Charles Wright         | Walter Wright              | Walter Wright              | 7    | N       | Nottinghamshire(1st) v Kent                                                          | 1896-08-10 | Trent Bridge, Nottingham                                                      |
| Charles Robson         | Ernie Robson               | Ernie Robson               | 14   | N       | Hampshire(2nd) v Somerset                                                            | 1900-05-24 | Recreation Ground, Bath                                                       |
| George Wilson          | Rockley Wilson             | Rockley Wilson             | 0    | N       | Worcestershire(2nd) v Cambridge University                                           | 1901-05-30 | FP Fenner's Ground, Cambridge                                                 |
| Mark Cox               | George Cox                 | George Cox                 | 7    | N       | Northamptonshire(2nd) v Sussex                                                       | 1905-05-29 | County Ground, Hove                                                           |
| Sydney Smith           | Razor Smith                | Razor Smith                | 4    | N       | Gentlemen(1st) v Players                                                             | 1910-07-11 | Lord's Cricket Ground, St John's Wood                                         |
| Harold Watson          | H Watson                   | H Watson                   | 29   | N       | Otago(1st) v Canterbury                                                              | 1913-12-25 | Lancaster Park, Christchurch                                                  |
| Alison White           | Jack White                 | Jack White                 | 14   | N       | Gloucestershire(1st) v Somerset                                                      | 1919-06-09 | County Ground, Taunton                                                        |
| Bert White             | Jack White                 | Jack White                 | 8    | N       | Warwickshire(2nd) v Somerset                                                         | 1923-05-30 | County Ground, Taunton                                                        |
| Sujjan Singh           | Joginder Singh             | Jai Singh                  | 38   | N       | Hindus(1st) v Sikhs                                                                  | 1925-03-03 | Lawrence Gardens, Lahore                                                      |
| George Geary           | Albert Geary               | Albert Geary               | 7    | N       | Leicestershire(1st) v Surrey                                                         | 1927-06-08 | Aylestone Road, Leicester                                                     |
| Francis Browne         | Snuffy Browne              | Snuffy Browne              | 0    | N       | Sussex(1st) v West Indians                                                           | 1928-08-18 | County Ground, Hove                                                           |
| Joginder Singh         | Amar Singh                 | Amar Singh                 | 9    | N       | Viceroy's XI(2nd) v Roshanara Club                                                   | 1932-02-12 | Roshanara Club Ground, Delhi                                                  |
| Harry Lee              | Frank Lee                  | Jack Lee                   | 82   | Y       | Middlesex(1st) v Somerset                                                            | 1933-06-14 | Lord's Cricket Ground, St John's Wood                                         |
| Jack Davies            | Emrys Davies               | Emrys Davies               | 2    | N       | Kent(1st) v Glamorgan                                                                | 1935-06-29 | The Nevill Ground, Tunbridge Wells                                            |
| Arthur Mitchell        | Tommy Mitchell             | Tommy Mitchell             | 32   | N       | Yorkshire(1st) v Derbyshire                                                          | 1935-08-14 | North Marine Road, Scarborough                                                |
| Jim Smith              | Ray Smith                  | Peter Smith                | 9    | Y       | Middlesex(2nd) v Essex                                                               | 1939-08-16 | Southchurch Park, Southend-on-Sea                                             |
| Hargopal Singh         | Bhalindra Singh            | Bhalindra Singh            | 21   | N       | Delhi(2nd) v Southern Punjab                                                         | 1944-01-29 | Feroz Shah Kotla, Delhi                                                       |
| George Mann            | Tufty Mann                 | Tufty Mann                 | 1    | N       | Middlesex(1st) v South Africans                                                      | 1947-05-31 | Lord's Cricket Ground, St John's Wood                                         |
| Hargopal Singh         | Mahabir Singh              | Mahabir Singh              | 6    | N       | Delhi(2nd) v Rajputana                                                               | 1949-12-02 | Feroz Shah Kotla, Delhi                                                       |
| Martin Young           | Jack Young                 | Jack Young                 | 68   | N       | Gloucestershire(1st) v Middlesex                                                     | 1952-06-25 | Wagon Works Ground, Gloucester                                                |
| Swaranjit Singh        | Hargopal Singh             | Hargopal Singh             | 35   | N       | Eastern Punjab(2nd) v Delhi                                                          | 1952-11-15 | Gandhi Stadium, Jalandhar                                                     |
| Donald Smith           | Geoff Smith                | Geoff Smith                | 34   | N       | Sussex(2nd) v Kent                                                                   | 1953-07-25 | Central Recreation Ground, Hastings                                           |
| Amir Elahi             | Ikram Elahi                | Ikram Elahi                | 17   | N       | Bahawalpur(1st) v Sind                                                               | 1953-11-20 | Bahawal Stadium, Bahawalpur                                                   |
| Saeed Ahmed            | Sajjad Ahmed               | Sajjad Ahmed               | 63   | N       | Punjab(1st) v North-West Frontier Province                                           | 1954-11-19 | Peshawar Club Ground, Peshawar                                                |
| Sajjad Ahmed           | Shakoor Ahmed              | Aftab Ahmed                | 3    | N       | North-West Frontier Province(1st) v Punjab                                           | 1954-11-19 | Peshawar Club Ground, Peshawar                                                |
| Shafiq Ahmed           | Altaf Ahmed                | Altaf Ahmed                | 11   | N       | Bahawalpur(1st) v Peshawar                                                           | 1957-01-17 | Peshawar Club Ground, Peshawar                                                |
| Sajjad Ahmed           | Shafiq Ahmed               | Zulfiqar Ahmed             | 14   | N       | Peshawar(1st) v Bahawalpur                                                           | 1957-01-17 | Peshawar Club Ground, Peshawar                                                |
